
[Iter 5 | Rank 12] Shapes: {'images': torch.Size([1, 73, 3, 1280, 720]), 'first_ref_image': torch.Size([1, 1, 3, 1280, 720]), 'prompt_embeds': torch.Size([1, 3, 4096]), 'clip_text_embed': torch.Size([1, 768])}
[Iter 5 | Rank 13] Shapes: {'images': torch.Size([1, 81, 3, 1280, 720]), 'first_ref_image': torch.Size([1, 1, 3, 1280, 720]), 'prompt_embeds': torch.Size([1, 105, 4096]), 'clip_text_embed': torch.Size([1, 768])}
[Iter 5 | Rank 14] Shapes: {'images': torch.Size([2, 49, 3, 1280, 720]), 'first_ref_image': torch.Size([2, 1, 3, 1280, 720]), 'prompt_embeds': torch.Size([2, 41, 4096]), 'clip_text_embed': torch.Size([2, 768])}
[Iter 5 | Rank 15] Shapes: {'images': torch.Size([6, 17, 3, 1280, 720]), 'first_ref_image': torch.Size([6, 1, 3, 1280, 720]), 'prompt_embeds': torch.Size([6, 158, 4096]), 'clip_text_embed': torch.Size([6, 768])}

==================== Iteration 6 ====================
[Iter 6 | Rank 0] Shapes: {'images': torch.Size([1, 93, 3, 1280, 720]), 'first_ref_image': torch.Size([1, 1, 3, 1280, 720]), 'prompt_embeds': torch.Size([1, 28, 4096]), 'clip_text_embed': torch.Size([1, 768])}
[Iter 6 | Rank 1] Shapes: {'images': torch.Size([1, 117, 3, 1280, 720]), 'first_ref_image': torch.Size([1, 1, 3, 1280, 720]), 'prompt_embeds': torch.Size([1, 19, 4096]), 'clip_text_embed': torch.Size([1, 768])}
[Iter 6 | Rank 2] Shapes: {'images': torch.Size([4, 33, 3, 1280, 720]), 'first_ref_image': torch.Size([4, 1, 3, 1280, 720]), 'prompt_embeds': torch.Size([4, 198, 4096]), 'clip_text_embed': torch.Size([4, 768])}
[Iter 6 | Rank 3] Shapes: {'images': torch.Size([1, 89, 3, 1280, 720]), 'first_ref_image': torch.Size([1, 1, 3, 1280, 720]), 'prompt_embeds': torch.Size([1, 3, 4096]), 'clip_text_embed': torch.Size([1, 768])}
[Iter 6 | Rank 4] Shapes: {'images': torch.Size([1, 101, 3, 1280, 720]), 'first_ref_image': torch.Size([1, 1, 3, 1280, 720]), 'prompt_embeds': torch.Size([1, 94, 4096]), 'clip_text_embed': torch.Size([1, 768])}
[Iter 6 | Rank 5] Shapes: {'images': torch.Size([3, 37, 3, 1280, 720]), 'first_ref_image': torch.Size([3, 1, 3, 1280, 720]), 'prompt_embeds': torch.Size([3, 67, 4096]), 'clip_text_embed': torch.Size([3, 768])}
[Iter 6 | Rank 6] Shapes: {'images': torch.Size([2, 61, 3, 1280, 720]), 'first_ref_image': torch.Size([2, 1, 3, 1280, 720]), 'prompt_embeds': torch.Size([2, 72, 4096]), 'clip_text_embed': torch.Size([2, 768])}
[Iter 6 | Rank 7] Shapes: {'images': torch.Size([6, 17, 3, 1280, 720]), 'first_ref_image': torch.Size([6, 1, 3, 1280, 720]), 'prompt_embeds': torch.Size([6, 255, 4096]), 'clip_text_embed': torch.Size([6, 768])}
[Iter 6 | Rank 8] Shapes: {'images': torch.Size([6, 5, 3, 1280, 720]), 'first_ref_image': torch.Size([6, 1, 3, 1280, 720]), 'prompt_embeds': torch.Size([6, 82, 4096]), 'clip_text_embed': torch.Size([6, 768])}
[Iter 6 | Rank 9] Shapes: {'images': torch.Size([1, 77, 3, 1280, 720]), 'first_ref_image': torch.Size([1, 1, 3, 1280, 720]), 'prompt_embeds': torch.Size([1, 235, 4096]), 'clip_text_embed': torch.Size([1, 768])}
[Iter 6 | Rank 10] Shapes: {'images': torch.Size([1, 73, 3, 1280, 720]), 'first_ref_image': torch.Size([1, 1, 3, 1280, 720]), 'prompt_embeds': torch.Size([1, 27, 4096]), 'clip_text_embed': torch.Size([1, 768])}
[Iter 6 | Rank 11] Shapes: {'images': torch.Size([2, 57, 3, 1280, 720]), 'first_ref_image': torch.Size([2, 1, 3, 1280, 720]), 'prompt_embeds': torch.Size([2, 253, 4096]), 'clip_text_embed': torch.Size([2, 768])}
[Iter 6 | Rank 12] Shapes: {'images': torch.Size([1, 113, 3, 1280, 720]), 'first_ref_image': torch.Size([1, 1, 3, 1280, 720]), 'prompt_embeds': torch.Size([1, 50, 4096]), 'clip_text_embed': torch.Size([1, 768])}
[Iter 6 | Rank 13] Shapes: {'images': torch.Size([1, 129, 3, 1280, 720]), 'first_ref_image': torch.Size([1, 1, 3, 1280, 720]), 'prompt_embeds': torch.Size([1, 4, 4096]), 'clip_text_embed': torch.Size([1, 768])}
[Iter 6 | Rank 14] Shapes: {'images': torch.Size([2, 49, 3, 1280, 720]), 'first_ref_image': torch.Size([2, 1, 3, 1280, 720]), 'prompt_embeds': torch.Size([2, 75, 4096]), 'clip_text_embed': torch.Size([2, 768])}
